batch,theory_admission,sim_admission,sim_eviction_total,theory_G,sim_G,sim_eviction_stage0,sim_eviction_stage1,sim_eviction_stage2
0,-3.75,0.0,0.0,7.5,7.5,0.0,0.0,0.0
1,8.4375,0.0,3.0,9.375,6.0,0.0,3.0,0.0
2,7.265625,6.0,0.0,9.375,6.0,0.0,0.0,0.0
3,-0.41015625,7.5,0.0,6.09375,3.75,0.0,0.0,0.0
4,10.0634765625,1.125,0.0,4.423828125,3.1875,0.0,0.0,0.0
5,2.728271484375,7.96875,0.0,5.23681640625,3.421875,0.0,0.0,0.0
6,4.04205322265625,4.1953125,0.0,5.23681640625,3.421875,0.0,0.0,0.0
7,7.9012298583984375,3.779296875,0.0,3.6676025390625,2.0947265625,0.0,0.0,0.0
8,2.0919227600097656,7.12939453125,0.0,2.5864791870117188,1.675048828125,0.0,0.0,0.0
9,6.459174156188965,3.2537841796875,0.0,2.904653549194336,1.93780517578125,0.0,0.0,0.0
10,5.35709023475647,5.585723876953125,0.0,2.904653549194336,1.93780517578125,0.0,0.0,0.0
11,3.459256589412689,5.577507019042969,0.0,2.1836256980895996,1.1659698486328125,0.0,0.0,0.0
12,6.658111587166786,3.8388233184814453,0.0,1.4999587833881378,0.8734502792358398,0.0,0.0,0.0
13,4.082918073982,6.018340587615967,0.0,1.5994274988770485,1.0897586345672607,0.0,0.0,0.0
14,4.90276871714741,4.5979567766189575,0.0,1.5994274988770485,1.0897586345672607,0.0,0.0,0.0
15,5.809350548079237,4.738798588514328,0.0,1.287596756592393,0.7101919054985046,0.0,0.0,0.0
16,4.061235277040396,5.628034181892872,0.0,0.8632162370486185,0.5150387026369572,0.0,0.0,0.0
17,5.566442992640077,4.410858331248164,0.0,0.8740576355194207,0.6085879253223538,0.0,0.0,0.0
18,4.996019801419607,5.265401449520141,0.0,0.8740576355194207,0.6085879253223538,0.0,0.0,0.0
19,4.580143003745434,5.110104439663701,0.0,0.7526038577998406,0.42727155913598835,0.0,0.0,0.0
20,5.527806394253503,4.663318363280268,0.0,0.49314999444732166,0.30104154311993625,0.0,0.0,0.0
21,4.655134754374046,5.338273716151889,0.0,0.47383169525403446,0.3374776764358103,0.0,0.0,0.0
22,5.035226761342315,4.8296690823499375,0.0,0.47383169525403446,0.3374776764358103,0.0,0.0,0.0
23,5.214615482541571,4.959208359948661,0.0,0.43633581993972825,0.2543023169009757,0.0,0.0,0.0
24,4.705310575816299,5.17873773830172,0.0,0.27974036408376257,0.1745343279758913,0.0,0.0,0.0
25,5.207400168323447,4.807171557161354,0.0,0.254652453362636,0.18578309057018316,0.0,0.0,0.0
26,4.961766857733467,5.106982249822018,0.0,0.254652453362636,0.18578309057018316,0.0,0.0,0.0
27,4.892241301590581,5.010893519851463,0.0,0.251044796253574,0.14990534633033192,0.0,0.0,0.0
28,5.163373229711674,4.906146412819158,0.0,0.1575794333664331,0.10041791850142978,0.0,0.0,0.0
29,4.876602486667473,5.109146844087455,0.0,0.13556596406054622,0.10150021563414846,0.0,0.0,0.0
30,5.031716969381905,4.933956635276314,0.0,0.1433853715221005,0.10150021563414846,0.0,0.0,0.0
31,5.052901923272016,5.000694072839016,0.0,0.1433853715221005,0.08759510440557072,0.0,0.0,0.0
32,4.910084868873552,5.048664932493995,0.0,0.08814971830227147,0.057354148608840916,0.0,0.0,0.0
33,5.072717471454049,4.938648279753243,0.0,0.07140852719923174,0.055008326370376004,0.0,0.0,0.0
34,4.976539509027276,5.040190950937948,0.0,0.08131630129024847,0.055008326370376004,0.0,0.0,0.0
35,4.97478751012537,4.995775101512631,0.0,0.08131630129024847,0.05077133559235225,0.0,0.0,0.0
36,5.0491109805728325,4.975137909905749,0.0,0.04896498066433974,0.03252652051609939,0.0,0.0,0.0
37,4.957520641689934,5.0342462864833415,0.0,0.03716173522373145,0.02955418828879619,0.0,0.0,0.0
38,5.01626596245796,4.975838709466512,0.0,0.045795169441449346,0.02955418828879619,0.0,0.0,0.0
39,5.0115270656601005,5.004516898304354,0.0,0.045795169441449346,0.029203788508414874,0.0,0.0,0.0
40,4.973391696081405,5.012474845019675,0.0,0.029372660384013205,0.018318067776581515,0.0,0.0,0.0
41,5.024615080653169,4.981018769997142,0.0,0.021437133188277446,0.01572803751126628,0.0,0.0,0.0
42,4.9891873771224855,5.014370403738816,0.0,0.025611692285882004,0.016675816870836968,0.0,0.0,0.0
43,4.995054468107018,4.996272917828623,0.0,0.025611692285882004,0.016675816870836968,0.0,0.0,0.0
44,5.014291382024365,4.99388104991011,0.0,0.017713851765341904,0.010244676914353157,0.0,0.0,0.0
45,4.9858449213892815,5.010443999240895,0.0,0.012552002450939792,0.00828147466539253,0.0,0.0,0.0
46,5.0069753117451254,4.9915342135162994,0.0,0.014223230317541802,0.009454892862297726,0.0,0.0,0.0
47,5.001897169276633,5.0027492336739545,0.0,0.014223230317541802,0.009454892862297726,0.0,0.0,0.0
48,4.992397054595366,5.002912797770332,0.0,0.010565195177921982,0.005689292127016188,0.0,0.0,0.0
49,5.008080804798318,4.99429707753162,0.0,0.007289128574879733,0.004307860119356022,0.0,0.0,0.0
